B: Marius
N: Shaldon

12 32
61 51
03 21
71 52
21 31
64 54
17 37
65 55
31 41
66 46
15 35
52 31
41 46
70 71
06 25
60 50
16 36
31 10
13 23
63 53
11 21
75 66
04 03
76 57
07 27
10 02
46 55
57 76
05 16
02 21
55 54
c76 64
00 40
72 61
54 45
61 43
45 47
c74 63
25 44
c66 44
40 30
62 42
47 45
c63 52
03 04
44 00
45 47
64 72
14 34
00 33
47 46
21 40
30 31
52 61
01 20
67 57
37 47
33 66
27 07
73 55
31 11
55 11
04 05
71 70
46 37
77 76
07 06
11 22
34 44
70 60
05 15
22 11
c15 24
11 41
20 41
43 25
16 27
53 44
37 46
76 74
46 56
66 55
27 05
74 76
56 34
c25 34
24 13
34 52
41 62
52 25
13 12
76 73
62 41
73 33
35 45
33 43
05 27
61 70
41 33
40 32
27 16
42 33
06 05
25 14
05 06
50 40
23 32
60 65
32 43
55 37
06 00
14 32
12 01
44 34
01 11
32 43
00 06
37 46
16 07
46 37
07 34
40 30
06 05
65 55
11 01
43 61
01 10
70 71
05 25
72 64
25 20
55 54
20 23
61 43
c10 00
43 61
34 43
64 45
43 16
54 53
23 21
71 60
21 41
61 52
41 21
53 63
21 31
45 64
16 25
64 76
31 51
60 51
00 10
51 60
25 43
63 64
43 76
52 74
76 43
60 71
10 00
74 47
43 32
64 34
32 65
34 36
00 10
37 46
65 76
46 73
76 21
30 20
21 65
73 62
10 20
62 35
65 43
35 62
43 54
62 40
54 65
36 46
65 10
40 73
10 01
47 56
01 12
56 45
20 10
73 62
10 11
45 27
12 30
46 36
11 20
36 46
20 31
46 42
30 41
62 51
41 50
42 43
50 05
43 42
05 23
27 63
31 20
42 41
20 30
41 42
c30 20
71 62
23 05
42 44
20 10
63 74
05 50
57 47
50 72
44 04
72 61
74 63
10 20
63 30
61 43
62 53
43 21
53 64
21 43
64 63
43 70
30 41
70 16
04 07
20 10
07 27
16 70
51 42
70 07
42 60
07 70
41 32
c10 00
63 73
00 01
73 64
70 25
27 25
01 02
25 24
02 11
24 25
11 12
32 65
12 03
25 15
03 02
15 12
c02 12
65 10
12 13
33 23
13 22
64 54
22 13
54 53
13 03
53 52
03 04
10 54
04 03
23 13
03 13
54 43
13 12
60 33
12 23
43 32
c23 34
32 41
34 25
52 42
25 26
33 66
26 15
42 32
15 06
41 74
06 05
32 42
05 15
42 53
15 14
66 77
14 13
53 44
13 14
74 52
14 13
77 55
13 03
52 07
03 12
44 33
12 11
33 44
11 10
44 54
10 20
55 33
20 10
54 53
10 01
33 44
01 02
44 77
02 01
53 54
01 10
77 55
10 21
55 46
21 22
END:0
