B: Pippo
N: Bobbi

15 35
71 50
12 32
76 55
03 12
55 36
12 22
65 45
16 26
36 17
32 42
64 44
22 33
70 71
33 53
61 41
05 16
71 51
53 33
41 31
33 43
17 05
42 51
31 21
10 30
62 51
43 61
63 53
61 66
67 57
01 20
75 66
13 33
05 26
16 25
44 33
30 40
73 55
20 12
77 76
25 61
74 73
61 52
26 14
04 13
76 74
52 25
66 75
25 70
14 35
70 34
35 47
34 43
55 44
07 17
47 66
43 65
73 63
06 14
44 41
17 47
50 71
65 54
c63 54
47 17
71 52
17 57
c54 44
13 04
41 23
00 20
23 34
40 50
72 61
04 13
53 43
57 55
52 71
20 00
34 12
c13 04
12 02
c14 02
75 64
55 53
61 70
53 51
33 23
51 52
44 35
00 20
71 52
04 15
64 37
c15 16
37 04
16 06
52 64
02 23
c35 25
06 05
04 26
20 40
66 54
40 10
74 75
10 30
54 42
30 00
26 37
00 01
37 26
01 04
26 62
04 02
75 73
23 15
62 17
02 12
43 33
15 27
70 52
12 13
42 30
27 46
c25 24
13 23
c24 35
23 25
c35 46
25 15
30 42
15 25
64 43
05 16
46 56
16 15
56 67
25 45
73 70
45 55
67 66
15 16
17 62
16 15
62 71
55 65
c66 56
15 14
52 61
65 35
43 55
14 15
61 07
35 37
71 44
37 67
42 50
15 04
55 34
67 47
70 76
47 37
34 15
37 34
15 34
04 05
34 26
c05 06
76 77
06 15
07 16
15 04
16 52
04 03
26 45
03 13
52 74
13 04
74 30
04 14
56 55
14 05
45 53
05 16
53 74
16 05
50 62
05 16
44 35
16 15
62 50
15 16
77 57
16 06
57 27
06 05
50 31
05 16
30 52
c16 05
27 23
05 04
35 44
04 15
55 45
15 14
52 70
14 15
70 61
15 04
44 66
04 05
31 12
05 15
45 55
END:0
