B: Kasparov
N: Marius

13 33
66 56
11 21
63 43
02 35
76 57
21 31
73 63
35 53
60 40
04 13
64 54
10 20
62 52
03 04
57 36
31 41
63 73
53 71
70 50
12 22
75 53
17 27
50 70
27 36
40 30
13 03
61 51
22 32
72 63
71 60
53 26
03 12
73 72
07 57
26 62
04 22
74 06
57 56
c06 17
06 27
62 44
27 35
65 45
33 44
72 62
22 40
75 77
36 45
77 76
56 66
76 77
66 63
52 41
40 41
62 61
63 53
61 66
41 52
66 76
53 54
67 57
52 51
70 60
51 42
60 70
42 64
43 33
16 36
70 75
64 61
76 46
61 11
75 65
35 27
65 75
05 16
33 23
c12 03
75 45
01 13
45 44
11 61
44 42
61 64
42 41
15 25
46 47
64 62
c41 44
62 64
44 45
14 23
45 46
32 42
47 74
13 21
74 47
64 73
47 56
73 40
56 47
54 64
77 74
64 63
46 42
16 07
74 76
21 33
47 27
40 31
27 36
03 04
76 56
33 41
56 53
31 42
17 07
63 53
36 26
c42 15
26 27
15 24
27 05
c04 05
57 47
53 50
07 17
24 13
c17 07
50 60
47 37
00 01
37 27
13 40
27 17
40 31
END:0
