B: Kasparov
N: Pippo

06 27
67 47
13 23
60 50
02 13
65 55
13 57
66 46
01 22
71 52
22 43
64 44
43 64
75 64
10 20
63 53
27 46
70 71
11 21
47 37
14 34
53 43
00 01
61 51
12 32
74 63
16 26
64 42
04 14
71 61
03 02
76 64
57 75
77 76
21 31
42 33
46 54
33 11
14 25
51 41
02 11
73 75
54 75
c63 53
25 14
52 33
c14 13
64 56
11 02
56 64
02 12
72 27
12 21
64 52
15 25
33 14
13 03
52 40
34 43
27 63
75 67
40 21
32 42
c53 43
01 11
61 60
03 04
76 46
23 33
21 00
25 35
50 40
11 14
37 27
04 15
60 70
14 12
43 54
15 06
46 36
35 44
63 52
05 32
c41 32
31 41
70 77
67 55
52 74
42 52
77 76
55 43
76 56
12 15
00 12
15 12
36 35
43 62
c54 64
62 70
35 55
12 13
56 46
20 30
55 35
52 62
64 65
13 12
46 36
12 02
35 33
02 00
65 56
62 72
p D
56 66
06 15
36 56
72 36
33 34
36 25
56 36
25 20
66 67
07 01
74 47
01 06
36 35
c26 35
47 03
20 27
c03 47
35 45
34 14
c15 05
14 11
06 36
11 16
00 10
16 26
27 47
END:0
