B: Kasparov
N: Shaldon

16 36
61 51
05 16
72 61
14 34
76 57
03 14
62 52
11 21
77 76
14 50
57 45
34 44
52 42
17 37
61 16
06 27
51 41
37 47
16 61
01 20
73 51
04 05
63 43
47 57
43 33
57 66
51 55
50 30
74 73
30 31
55 66
31 40
c73 72
20 01
67 57
40 62
c72 62
07 17
71 52
13 23
66 77
02 24
70 73
36 46
76 66
24 02
52 40
05 04
61 25
02 20
62 63
44 54
c63 52
20 42
52 61
27 06
66 76
17 47
61 50
06 27
75 66
42 31
50 61
46 56
73 43
10 30
43 44
c04 05
44 24
00 20
24 14
20 00
45 24
c05 06
61 70
27 35
40 32
31 42
76 75
47 46
41 30
00 20
66 44
56 65
24 36
42 53
30 21
53 64
36 55
06 05
25 16
c05 14
55 34
23 34
32 24
12 21
44 66
46 45
60 40
34 44
75 65
64 46
16 61
14 04
57 46
04 14
77 07
45 65
07 16
35 23
66 44
65 75
c70 60
75 35
60 50
20 40
c50 40
23 02
16 26
02 23
24 12
35 75
44 71
75 65
71 53
23 42
26 36
c14 05
53 71
21 31
c40 41
01 20
c12 20
65 25
36 45
42 21
71 26
25 35
45 54
35 34
54 52
15 35
52 50
21 02
50 40
02 14
41 30
05 16
26 35
16 25
40 41
14 06
35 02
25 36
41 31
34 24
30 41
24 14
20 01
14 10
61 25
c06 25
41 42
10 12
c31 22
25 44
42 31
36 47
22 04
44 63
04 74
c47 36
33 23
63 71
74 65
12 22
31 40
22 02
40 30
02 72
65 64
71 52
64 66
72 76
66 56
76 70
c30 41
52 31
56 34
c36 47
34 67
c47 36
67 37
c36 25
41 51
31 12
51 52
12 00
37 77
70 76
01 20
76 72
c77 72
00 21
72 75
c25 26
75 25
c26 25
52 43
25 24
43 54
21 02
54 53
24 15
20 41
15 04
41 22
04 13
53 52
02 21
52 43
21 40
22 14
40 52
43 42
52 31
42 32
31 10
46 36
10 31
32 21
31 23
14 33
13 04
33 25
c04 05
21 32
23 11
c32 43
05 14
25 06
c14 05
43 33
05 15
33 42
15 06
42 53
11 30
53 44
06 05
44 43
05 14
43 54
14 05
54 65
30 11
65 66
05 06
66 55
06 17
55 64
17 07
64 63
11 30
63 62
30 22
62 51
22 01
51 52
01 13
52 61
13 01
61 62
01 22
62 73
22 30
73 64
30 42
36 26
42 63
64 63
07 16
63 54
16 27
54 45
27 26
END:0
