B: Magnus
N: Pippo

10 30
65 55
00 20
61 51
17 37
71 50
20 27
64 44
30 40
72 61
12 32
75 20
27 22
70 72
01 20
76 57
15 35
61 16
22 26
16 34
05 16
73 64
26 23
64 20
11 31
44 35
23 43
62 52
03 12
34 43
12 56
c74 73
06 25
73 62
14 34
62 53
16 27
51 41
25 17
43 65
17 05
50 62
05 17
20 30
56 55
c62 54
13 23
77 74
55 00
74 77
07 05
65 74
02 20
74 56
37 47
56 45
32 42
c53 62
34 44
63 53
40 50
77 73
00 03
45 56
05 07
54 42
44 53
c62 53
04 15
42 34
c15 06
73 74
27 16
57 65
17 36
30 03
c16 05
74 44
06 17
72 73
05 27
65 77
07 05
52 42
05 03
73 72
03 06
44 54
06 07
34 26
27 05
53 64
23 33
54 53
47 56
64 63
36 55
c63 64
55 74
26 47
74 66
53 52
05 16
64 63
17 27
72 76
07 01
47 66
27 17
67 57
01 00
76 75
00 05
75 71
17 07
35 25
07 17
52 54
17 07
71 75
05 01
54 44
33 43
75 73
01 05
44 24
31 42
77 65
05 01
73 71
20 31
66 54
31 20
24 20
56 66
65 77
43 54
c63 73
01 04
71 61
04 01
61 51
66 76
p D
c73 62
07 06
51 50
76 77
20 24
77 55
24 20
16 07
20 23
55 37
50 53
37 27
23 13
07 25
60 50
01 02
13 23
42 53
c62 71
02 04
23 24
25 14
24 25
14 41
25 20
41 74
20 10
06 05
10 15
c05 15
50 40
74 30
57 47
04 14
47 37
27 24
71 72
30 12
72 71
15 06
71 70
12 21
40 30
21 03
30 20
06 07
37 27
24 20
c70 71
14 13
71 72
03 36
27 17
36 14
72 71
13 10
71 61
14 03
61 51
54 64
51 41
20 31
c41 52
31 22
c52 43
10 12
43 54
22 72
c54 43
72 52
c43 33
12 11
33 24
11 41
24 15
03 14
15 26
52 42
26 27
42 22
c27 37
41 31
c37 46
22 52
46 45
31 41
c45 54
52 74
END:0
