B: Morphy
N: Gallo

16 26
66 56
01 20
62 42
11 21
42 32
13 23
76 55
14 24
32 21
03 36
55 36
17 37
73 62
06 14
62 52
14 22
60 50
04 03
21 11
00 01
70 60
24 34
50 40
07 17
75 57
05 27
56 46
02 35
52 51
03 04
65 45
20 32
74 06
35 24
c36 15
32 20
51 56
01 02
60 50
22 01
64 54
37 46
54 44
20 32
75 55
32 20
55 54
12 32
40 30
02 03
50 60
27 36
57 46
03 02
54 52
24 42
46 35
17 37
11 02
p T
c04 14
02 05
14 25
56 54
42 15
c05 15
END:0
