B: Morphy
N: Kasparov

15 25
76 55
13 33
66 46
06 27
60 40
25 35
55 43
07 06
62 52
02 13
67 47
14 24
73 62
12 22
61 41
16 36
47 36
05 16
62 61
27 46
64 54
22 32
43 62
11 31
77 37
13 02
65 55
33 43
75 31
c04 15
37 67
02 11
67 65
46 27
31 20
24 34
62 50
34 44
50 31
06 04
61 60
c15 26
65 64
26 36
64 65
27 46
71 50
35 45
50 62
32 42
70 71
03 30
72 50
46 67
31 10
04 02
60 70
16 34
10 02
11 22
54 45
c34 45
63 53
43 52
65 63
45 54
02 23
54 65
c74 64
36 25
23 02
17 27
02 23
67 75
23 02
01 20
02 10
30 37
62 54
22 33
63 73
25 34
73 72
42 53
c64 75
37 15
54 46
c34 24
70 61
24 23
61 65
33 24
72 74
15 35
74 54
23 12
54 74
35 17
71 73
17 07
46 34
07 02
34 13
24 60
74 54
02 01
73 53
01 07
75 74
00 10
65 62
20 01
53 43
01 20
13 34
60 51
43 23
07 34
74 65
34 33
65 76
51 60
23 13
c12 21
40 30
c21 22
13 14
10 00
62 73
60 71
14 16
33 34
76 75
34 31
c75 65
00 04
73 23
c22 23
16 17
04 03
50 61
31 13
61 50
13 16
65 75
16 05
50 61
20 01
17 16
23 33
61 52
03 23
16 26
23 20
26 23
c20 23
75 74
71 53
74 73
23 26
52 07
26 16
07 16
05 07
73 63
44 55
63 74
01 22
54 24
53 20
16 07
33 42
24 23
20 11
74 63
11 02
07 52
22 03
52 43
02 20
63 74
42 51
74 73
27 37
73 63
20 53
23 13
55 65
43 52
65 75
p D
13 23
03 15
23 03
53 26
03 01
26 53
01 11
53 42
11 10
37 47
10 12
75 25
12 02
25 23
c63 74
23 67
02 12
67 77
c74 63
42 75
52 16
75 64
12 15
77 74
c63 54
51 40
16 34
64 46
c54 53
46 55
15 45
74 56
30 20
55 44
c53 43
56 52
c43 52
47 57
45 65
44 11
65 67
11 00
20 10
40 31
34 07
31 40
67 66
00 55
66 67
55 22
07 16
22 11
52 61
11 02
67 57
02 46
57 17
46 37
16 25
37 04
17 13
04 26
13 15
26 35
25 52
35 46
52 34
40 41
34 43
46 37
15 14
41 30
14 24
37 64
43 21
c30 31
21 54
64 53
54 63
53 26
61 60
31 42
24 23
26 04
10 00
p C
04 15
63 41
15 06
60 71
06 15
71 70
15 04
23 26
04 15
26 36
42 51
36 31
15 26
41 30
c51 62
31 61
c62 72
30 03
26 53
61 63
72 63
03 12
63 74
12 01
53 64
01 56
c74 75
56 23
75 74
70 71
74 63
23 34
63 73
34 25
64 75
25 52
75 42
52 30
42 24
71 61
73 64
61 70
24 60
00 12
60 33
30 52
33 22
52 34
22 66
34 45
66 22
12 00
22 04
45 27
04 37
00 21
64 73
21 42
37 26
27 63
26 17
42 30
17 35
63 45
35 44
30 22
44 26
22 34
73 62
45 63
26 15
END:0
