B: Bobbi
N: Morphy

15 25
63 43
11 31
67 57
13 33
74 63
03 13
64 44
13 57
44 33
01 22
71 50
04 13
66 57
00 01
65 55
01 00
63 53
17 37
75 66
22 41
c53 64
10 20
61 51
00 10
72 63
14 24
73 75
05 23
63 41
37 47
50 31
20 30
64 53
30 40
41 74
23 05
74 63
05 23
63 72
12 22
31 50
23 45
75 65
45 63
65 56
06 27
56 46
63 54
46 45
07 04
33 22
c13 22
53 54
24 34
54 53
10 20
62 42
04 03
42 32
03 33
45 56
33 32
53 54
02 13
77 67
22 33
51 41
33 22
43 33
c22 21
56 36
32 31
54 53
27 06
36 25
c21 12
50 62
31 21
25 24
06 27
72 27
13 22
27 36
16 26
36 03
c12 01
24 15
01 00
62 50
22 04
50 42
26 36
41 31
21 11
03 25
00 10
15 13
34 44
c55 44
11 13
76 64
13 14
25 43
c10 01
64 45
20 21
43 54
01 10
70 72
14 24
42 34
04 31
c53 62
36 46
34 46
31 04
54 65
04 22
65 56
10 00
45 53
24 04
46 65
00 11
53 74
04 01
74 55
01 07
66 77
21 51
65 46
22 33
46 65
07 05
55 76
51 50
62 73
11 20
72 52
05 03
52 02
33 44
c56 23
44 77
02 72
20 10
73 74
03 01
74 64
01 02
65 73
77 22
23 05
22 33
67 65
50 60
c73 61
33 44
72 74
02 01
76 55
01 04
64 54
04 02
74 70
02 00
61 40
60 50
c54 64
00 04
64 73
44 33
65 63
04 34
40 21
33 15
73 72
15 26
05 16
50 70
c72 61
34 64
55 34
26 62
63 43
70 40
43 45
40 70
34 53
64 66
45 44
70 75
16 07
62 71
c61 51
66 60
53 61
10 21
07 52
21 20
52 16
60 40
44 04
40 43
16 43
75 25
43 52
25 55
51 41
55 75
04 05
75 76
05 75
76 06
61 53
06 46
c75 45
20 21
45 46
71 60
46 42
21 11
42 22
60 42
52 70
11 22
70 52
42 20
53 61
20 02
61 40
22 11
52 43
02 13
41 52
11 00
43 65
13 57
52 53
00 11
65 54
11 01
53 62
01 11
54 43
11 22
43 32
57 66
32 23
22 33
23 45
47 57
45 01
33 24
01 56
66 22
40 61
24 25
61 42
22 31
56 01
25 14
42 61
31 64
61 40
64 55
01 67
55 37
67 23
c14 15
23 45
15 25
62 71
25 16
45 01
57 67
40 61
37 64
61 42
16 26
01 34
26 37
34 23
64 46
71 70
46 02
42 50
37 36
23 56
36 37
50 62
37 26
62 50
02 13
56 45
13 40
45 72
40 31
72 27
26 27
50 31
27 36
70 71
67 77
p C
71 62
36 35
62 71
35 36
31 10
36 26
71 61
77 56
10 02
26 17
61 70
56 64
70 60
17 27
02 14
27 37
60 61
64 72
61 70
72 53
14 06
53 72
06 14
37 47
14 06
72 51
c70 61
51 32
61 70
32 51
c70 61
47 37
61 71
37 46
06 25
c46 57
71 61
57 66
25 04
51 43
61 50
66 75
50 60
75 64
04 25
64 54
60 71
43 64
71 61
64 43
54 65
43 72
65 45
45 43
72 52
43 55
52 72
55 63
72 72
72 56
56 72
72 72
63 43
43 55
55 63
63 43
43 43
72 72
72 45
45 45
45 56
56 43
43 45
43 63
45 52
52 45
45 43
63 65
65 55
55 45
45 63
63 43
43 56
56 56
56 72
72 43
43 55
55 63
43 72
72 76
63 55
55 53
76 72
53 65
65 55
72 43
43 72
72 56
56 72
72 43
43 45
45 72
55 65
65 53
53 63
63 45
72 76
76 76
45 45
76 56
45 45
45 65
56 45
45 76
65 43
76 56
43 55
56 56
56 72
72 76
55 65
76 45
65 63
63 65
65 55
55 45
45 76
76 52
45 55
52 56
55 53
56 45
53 53
53 65
65 43
43 45
45 76
76 43
45 53
43 72
72 72
72 76
53 55
76 43
55 45
43 56
45 45
45 65
65 65
65 45
45 65
56 72
72 43
43 72
72 76
65 45
76 72
45 55
55 55
55 55
55 45
72 43
45 55
55 55
43 43
43 56
56 52
52 76
55 63
76 76
63 55
76 43
43 43
43 56
56 43
55 53
53 65
65 63
63 63
43 56
56 52
52 45
45 43
43 43
63 55
43 43
55 55
43 72
55 43
72 56
43 43
43 65
65 53
53 45
56 43
43 76
45 65
76 45
45 52
52 43
65 55
55 43
43 43
43 45
45 52
52 45
43 43
43 43
45 56
43 53
53 55
55 63
63 53
56 43
43 56
53 43
56 56
56 72
72 45
45 43
43 55
43 72
55 63
63 63
72 56
63 65
56 52
65 63
63 63
63 45
45 55
52 45
45 56
56 76
55 65
76 52
65 65
65 63
63 45
52 52
52 72
45 53
72 45
53 55
55 45
45 45
45 43
45 76
76 45
43 45
45 76
45 43
43 55
55 53
53 53
53 53
53 65
65 63
76 45
45 45
63 65
65 63
45 45
45 52
63 55
52 76
76 43
55 53
43 76
76 56
53 55
56 56
55 63
56 45
63 53
45 52
52 56
56 72
72 76
76 45
45 72
72 76
53 53
76 45
45 52
52 52
52 43
53 63
43 76
76 76
63 63
76 43
63 45
43 52
45 65
52 45
65 65
45 52
65 45
52 72
45 53
72 56
53 55
56 72
55 55
55 43
72 43
43 63
63 65
43 52
52 45
45 72
65 63
63 43
43 55
55 45
45 65
72 43
65 53
53 43
43 45
43 45
45 53
53 55
55 63
63 53
45 45
45 56
56 45
53 43
43 63
45 43
63 53
43 56
56 56
53 65
56 43
65 53
43 76
76 56
56 52
52 56
56 52
52 76
53 45
45 43
43 45
76 52
52 52
52 56
45 53
53 45
56 43
45 65
65 65
65 43
43 43
43 72
43 43
72 72
72 52
43 53
52 76
76 72
53 55
72 72
72 45
45 52
55 65
65 63
52 45
45 76
76 52
63 45
52 45
45 45
45 72
72 52
52 43
45 43
43 72
43 53
53 65
72 56
65 45
45 65
65 53
53 45
56 76
76 52
52 45
45 52
52 45
45 56
56 72
72 45
45 53
45 76
53 53
53 63
76 52
52 72
72 76
63 53
53 63
76 72
63 45
45 63
63 43
72 45
45 76
76 52
43 53
53 63
63 43
43 45
52 45
45 76
45 45
45 65
76 43
43 72
72 45
65 53
45 56
56 43
43 76
53 55
76 56
56 56
56 52
52 56
56 76
55 45
76 76
45 53
53 65
76 56
56 56
56 45
45 45
65 55
45 43
55 53
43 45
45 76
53 43
76 43
43 45
43 56
45 45
45 55
55 63
63 65
56 43
65 55
55 53
43 45
53 45
45 53
53 63
63 63
45 72
63 55
72 52
52 56
55 43
43 53
56 45
45 76
53 63
76 52
52 45
45 72
72 45
45 52
63 65
65 43
52 56
43 63
56 56
56 52
52 56
56 72
63 65
65 63
63 43
43 63
63 55
72 56
56 52
52 56
55 63
56 43
43 43
63 45
43 76
45 65
65 65
65 45
45 53
76 52
53 63
52 72
72 56
63 55
55 55
55 55
56 56
56 45
55 65
65 53
45 52
52 43
53 55
55 65
43 76
76 45
45 72
65 65
72 56
65 55
55 43
43 45
45 45
45 65
65 55
56 43
55 63
43 43
63 55
43 56
56 52
52 72
55 55
55 63
72 56
56 45
63 43
43 55
45 43
55 63
63 45
45 43
43 52
43 43
43 65
65 63
63 43
43 45
45 65
65 55
55 45
52 43
45 45
45 53
43 52
52 45
