B: Kasparov
N: Turing

16 36
60 40
11 21
66 56
05 16
64 54
10 30
67 47
14 24
56 46
16 34
61 41
02 20
75 53
34 16
53 35
24 35
72 50
01 22
50 61
20 75
61 43
17 27
74 75
03 25
41 31
22 34
65 45
13 33
73 72
34 55
72 74
04 14
76 57
55 63
c71 63
12 32
43 34
14 13
34 61
36 47
63 42
00 02
74 73
35 46
70 71
02 04
73 33
c13 12
33 44
04 14
61 34
c25 34
44 35
14 24
75 65
34 61
71 70
06 14
70 73
24 22
57 76
22 23
54 44
27 37
73 74
07 01
65 75
47 57
35 13
c12 13
42 23
16 27
74 70
14 22
77 67
01 00
70 60
27 16
67 57
15 25
23 35
00 07
35 23
32 42
76 55
07 06
55 76
46 56
57 47
16 07
23 15
61 71
c75 64
22 34
45 34
06 02
47 46
37 46
64 63
02 32
76 55
13 14
15 23
32 31
23 15
31 33
c63 54
33 73
15 03
71 41
60 50
07 16
50 51
41 40
55 67
16 07
34 25
c14 04
25 15
c04 14
03 22
c14 23
51 71
73 33
44 33
23 12
22 14
56 67
71 70
67 77
p A
14 22
40 62
22 01
07 16
33 23
c12 03
70 40
16 25
40 30
42 52
30 50
62 17
54 45
77 66
45 54
03 02
50 10
17 15
10 11
52 62
01 22
15 17
11 16
46 56
22 03
66 75
03 15
25 70
15 03
17 67
16 13
70 25
13 17
25 43
c54 55
56 66
c55 44
43 76
17 47
67 56
23 13
c02 03
47 45
21 31
45 05
c03 13
05 75
56 54
c44 35
54 10
35 25
10 01
75 45
01 05
c25 34
05 25
c34 33
25 45
END:0
