B: Pippo
N: Marius

15 35
67 57
04 15
66 46
15 26
64 44
03 04
63 53
14 34
61 41
05 32
72 45
04 05
73 63
05 23
75 64
23 14
63 73
32 21
73 72
14 32
72 61
26 15
61 43
01 22
43 42
c32 42
45 56
15 04
64 73
42 44
c74 75
22 30
46 36
12 22
56 67
04 15
53 44
13 33
36 26
c17 26
65 55
15 24
75 66
21 43
73 64
06 25
71 63
43 65
57 47
07 27
41 31
65 76
62 52
76 43
60 50
25 37
70 71
35 45
31 22
30 51
66 57
51 63
71 72
24 25
c57 66
37 56
22 11
43 76
72 71
56 44
64 53
27 07
71 31
07 05
31 32
44 32
53 42
34 44
11 00
p A
32 24
67 56
76 67
42 20
25 34
77 76
02 13
66 57
44 55
20 31
05 15
76 73
63 75
73 71
24 32
c31 13
15 25
13 22
34 24
56 45
32 11
52 42
11 32
71 72
67 56
50 40
56 74
45 54
32 44
22 13
c24 13
47 37
44 63
54 45
55 65
45 56
13 03
56 47
75 67
57 66
26 37
72 52
16 36
47 36
03 02
00 11
c02 12
11 00
63 51
42 33
c12 21
00 11
51 72
52 51
c21 32
36 47
10 30
51 31
c32 43
66 57
72 64
47 56
25 23
31 51
64 76
c57 66
65 75
p C
56 65
c43 34
51 55
75 56
55 45
74 41
11 20
41 74
45 05
56 35
20 42
35 14
05 25
74 52
65 43
c34 43
25 35
52 70
35 37
14 02
37 36
70 61
42 20
23 33
66 67
33 13
20 75
02 14
75 57
43 53
36 37
53 42
37 35
61 34
c35 34
42 41
34 37
41 52
37 30
13 33
30 31
14 26
31 71
26 47
71 76
33 23
76 26
23 24
26 76
52 43
57 75
24 04
40 30
04 02
75 64
02 01
76 73
c43 54
73 72
54 63
72 75
63 52
64 20
01 41
75 55
c52 61
20 53
41 45
67 77
47 66
55 65
c45 65
53 44
65 45
77 67
45 75
44 17
75 65
17 35
66 54
c67 56
65 63
35 44
54 42
44 66
63 03
56 65
61 62
66 11
03 43
11 33
43 53
33 42
62 72
65 76
53 50
76 65
50 51
42 33
51 11
33 44
11 61
c65 54
61 62
44 62
72 62
54 64
62 61
64 53
61 50
53 43
50 51
30 20
51 62
43 42
62 61
20 10
61 70
42 51
70 71
51 42
71 62
42 43
62 73
10 00
p T
73 72
43 34
72 73
00 30
73 62
34 44
62 52
30 60
52 41
60 20
41 52
20 21
52 42
21 31
42 52
44 55
52 62
55 46
62 52
31 51
c52 63
46 45
63 64
45 35
64 74
35 36
74 64
51 53
64 65
36 27
65 64
53 13
64 75
13 11
75 74
11 10
74 64
10 16
64 75
16 17
75 65
17 16
65 54
16 17
54 64
17 13
64 54
13 17
54 44
17 12
END:0
