B: Kasparov
N: Bobbi

16 26
64 54
14 24
65 45
05 16
67 47
16 61
63 43
13 33
76 64
02 13
62 52
06 25
47 37
26 37
77 47
61 72
60 40
11 31
40 30
12 22
47 77
03 21
52 42
72 63
c73 63
04 14
64 72
25 44
63 61
22 32
30 21
10 21
42 31
13 31
74 73
07 03
70 20
17 27
77 57
01 20
75 42
44 52
c61 52
20 01
54 44
01 20
66 56
14 13
42 31
c13 12
57 37
20 01
37 34
00 10
31 40
21 31
73 64
03 23
52 32
c23 22
34 33
01 13
33 36
10 00
40 31
13 21
71 63
21 33
63 42
12 11
64 73
24 34
31 40
11 01
72 51
22 23
51 30
00 10
36 37
10 11
37 35
23 26
40 22
11 10
42 63
33 21
32 23
c10 12
63 75
26 56
23 34
01 10
22 13
56 26
75 54
26 66
13 31
10 01
34 32
27 37
32 21
c12 11
43 33
66 61
73 72
61 67
54 73
67 66
73 61
66 67
31 04
67 61
30 42
61 64
42 61
64 62
c72 71
62 32
71 60
01 02
61 73
32 12
21 32
12 32
60 70
02 12
04 40
12 01
40 62
32 30
c62 40
15 25
73 54
30 31
35 36
31 71
c70 60
01 02
40 22
71 73
60 50
11 31
36 76
73 70
c76 70
31 51
c50 40
37 47
54 66
47 57
22 13
c02 11
13 22
c11 10
33 23
51 52
22 04
52 51
04 22
57 67
66 54
51 21
54 46
67 77
p A
46 27
21 51
70 50
51 41
c40 30
77 66
22 40
41 40
c30 31
10 01
50 54
40 44
45 35
44 47
54 24
47 41
c31 20
66 22
27 06
22 04
24 14
01 02
14 44
41 40
c44 40
02 13
20 10
13 23
40 45
23 13
06 27
13 02
45 40
02 13
40 60
13 12
60 66
04 40
27 06
40 62
66 76
12 03
76 72
62 35
10 21
35 46
21 30
46 57
30 41
57 46
72 74
46 37
74 34
37 46
34 37
03 13
06 25
c13 14
25 17
46 37
41 42
37 46
42 52
14 03
52 42
03 02
42 52
02 13
52 42
46 55
42 41
55 73
41 32
73 46
17 25
c13 02
25 46
END:0
