B: Pippo
N: Polgar

10 30
67 47
14 34
62 52
15 25
66 46
12 22
75 66
00 10
74 75
17 37
75 74
13 33
73 51
02 13
74 73
04 14
66 55
22 32
77 57
03 04
57 56
13 02
55 66
07 27
64 44
27 07
60 50
10 20
56 54
02 24
54 55
24 02
51 60
20 22
52 42
33 42
46 36
02 35
66 75
07 27
73 64
04 03
55 57
35 24
76 55
01 20
64 54
24 33
55 76
03 02
75 64
02 35
64 73
22 21
36 25
c35 25
50 40
21 23
57 56
11 21
73 37
25 47
76 64
33 00
60 50
23 53
c50 53
47 36
c56 36
27 26
37 55
26 36
53 33
00 33
64 76
36 46
61 51
20 12
55 66
46 47
71 52
14 15
63 43
47 27
44 33
32 43
c54 55
12 04
66 57
15 26
52 71
04 25
71 52
26 37
51 41
43 52
76 64
21 31
64 43
25 13
55 64
27 26
72 50
26 46
43 55
05 14
70 75
14 03
64 74
03 12
55 63
46 44
c74 73
31 40
57 13
44 45
63 71
45 35
13 04
c37 36
04 40
16 26
73 74
36 45
50 72
c45 55
71 63
c55 45
63 44
c45 55
72 50
52 62
40 62
30 41
44 25
35 37
62 53
12 01
25 46
34 44
53 71
37 34
46 67
c55 66
71 60
06 25
74 64
41 50
75 71
25 17
60 42
66 67
71 31
01 23
64 74
23 14
42 64
14 05
64 46
26 36
74 75
17 25
46 02
05 32
65 55
44 54
31 30
34 35
30 50
35 34
50 20
54 64
c75 74
32 23
20 50
23 14
74 63
25 04
33 23
14 25
50 30
67 56
30 31
04 16
63 62
16 24
62 72
25 03
02 13
03 21
13 02
21 65
31 34
65 74
02 24
74 52
34 35
52 43
35 31
36 46
31 01
43 25
72 71
56 55
24 02
25 07
02 13
55 54
13 35
07 43
01 04
c54 55
04 02
43 25
35 13
25 52
13 04
46 56
02 03
55 65
04 40
52 16
03 04
65 76
04 54
16 70
40 62
70 43
54 34
76 66
34 54
43 32
54 24
32 65
24 04
66 55
04 07
65 32
07 06
55 65
06 01
32 23
01 31
65 76
31 30
23 12
30 36
76 65
62 17
12 21
36 30
56 66
30 36
65 54
71 72
21 32
36 56
c54 65
72 61
32 21
17 26
65 74
26 71
21 30
56 55
30 52
c61 52
66 76
p T
55 53
76 26
53 03
26 25
71 53
25 26
53 42
26 20
52 43
20 24
03 07
24 04
07 77
c74 65
77 17
04 24
17 12
65 75
12 10
24 22
10 50
22 42
c43 33
42 72
33 23
72 71
50 57
71 21
c23 33
21 26
57 54
26 56
33 32
56 36
c32 23
36 26
c54 24
64 74
p D
24 25
c75 64
23 13
74 65
25 45
65 74
13 12
64 54
45 15
74 56
c12 13
56 76
15 16
76 74
16 17
74 77
17 16
54 44
16 17
77 37
17 15
37 33
c13 12
33 23
c12 02
26 36
15 25
23 50
25 75
36 56
75 55
50 60
02 01
44 43
55 15
56 16
15 05
60 40
05 25
40 70
25 45
c43 33
45 40
16 46
40 41
70 07
c01 10
07 37
41 71
33 32
END:0
