B: Bobbi
N: Marius

13 33
66 56
02 24
65 55
12 22
64 54
24 02
75 31
33 43
61 51
15 25
54 43
11 21
74 65
17 37
65 66
02 46
63 53
22 31
60 50
10 20
72 36
07 17
55 46
03 12
66 65
16 26
73 64
37 46
64 55
17 16
55 25
04 13
67 47
14 25
70 60
06 27
76 64
05 32
65 66
12 23
36 45
01 22
66 65
32 43
c65 66
22 41
77 74
41 22
74 75
27 15
75 55
43 65
55 54
65 54
60 61
13 02
45 36
23 05
62 42
02 03
51 41
54 76
61 60
05 32
41 32
03 02
64 43
22 34
66 77
34 13
42 31
15 36
32 21
16 15
43 55
36 57
55 36
13 32
60 66
32 11
66 76
11 23
76 73
02 01
77 66
15 16
53 43
16 13
71 52
13 15
43 33
15 16
73 77
16 13
66 67
25 35
36 44
57 65
77 74
23 44
31 20
00 10
74 54
13 12
50 40
12 15
54 53
10 13
52 31
15 25
20 10
c01 11
53 63
65 53
67 66
53 45
c66 77
26 36
40 30
13 12
63 61
44 52
61 41
11 02
41 42
45 64
21 12
02 13
31 50
35 45
42 41
52 71
50 71
25 26
41 42
26 22
42 44
64 56
c77 66
22 52
44 24
52 72
33 23
72 76
c66 67
45 55
24 54
56 37
71 50
76 75
54 34
75 65
c67 77
13 02
50 71
65 64
34 33
64 74
c77 67
74 64
c67 76
02 11
33 32
64 65
32 35
37 16
35 33
65 66
c76 77
66 67
c77 67
11 02
23 13
c02 12
10 00
p C
c12 03
47 37
16 04
33 31
46 56
c67 56
04 16
31 11
16 04
13 04
p A
55 65
c56 65
36 46
11 41
03 14
65 66
46 56
41 44
c14 25
44 45
c25 36
45 75
36 47
30 20
47 36
75 65
36 27
65 60
27 36
60 61
36 45
61 51
45 34
51 54
c34 43
04 26
43 42
26 17
42 43
54 52
43 33
37 27
33 34
52 22
34 45
22 32
45 54
32 72
54 43
66 77
43 34
00 12
34 23
17 44
23 13
27 17
13 03
44 62
56 66
c77 66
03 13
62 35
c13 23
35 53
23 34
72 74
c34 23
12 04
c23 13
66 67
13 22
71 63
22 33
74 76
33 34
53 42
34 35
63 55
35 44
76 75
44 54
42 31
54 44
55 74
44 54
75 45
54 45
31 64
45 54
04 25
54 63
64 75
63 73
75 64
c73 74
64 75
74 63
67 76
63 73
25 06
73 62
75 64
62 71
76 75
71 62
06 27
62 51
17 07
p C
51 60
75 66
60 70
66 55
70 71
55 66
71 70
66 55
70 60
55 56
60 71
56 65
71 60
07 15
60 61
15 23
61 62
64 55
62 71
65 74
71 61
27 35
61 50
74 75
50 40
55 77
40 30
35 54
30 40
77 33
40 50
33 22
50 41
54 66
41 30
23 44
30 21
44 52
21 10
75 64
10 01
22 44
01 02
52 33
02 01
64 54
01 02
54 63
02 03
33 41
END:0
