B: Kasparov
N: Shaldon

01 20
61 51
11 31
63 53
14 24
72 27
20 01
65 55
03 47
c66 56
06 14
73 72
16 27
72 61
05 16
61 34
10 20
71 50
02 11
62 42
47 37
34 61
31 41
61 52
14 06
64 54
15 25
75 64
04 15
52 62
37 47
70 72
47 46
55 45
46 55
64 75
16 05
72 70
05 16
53 43
55 45
62 71
13 23
75 66
45 43
71 17
07 17
66 75
11 02
75 64
43 33
70 71
33 42
64 73
06 14
74 63
16 05
71 72
42 75
72 22
15 26
22 72
75 31
72 71
31 53
c63 74
53 52
c74 64
20 30
64 55
52 32
55 64
32 35
64 63
12 32
67 47
35 37
76 57
37 35
50 42
35 37
71 72
01 13
57 76
13 34
76 57
34 53
63 62
25 35
60 50
23 33
42 30
14 06
73 55
37 47
57 36
05 16
55 33
06 14
33 00
16 70
50 40
47 45
56 45
17 16
36 44
70 43
77 37
16 15
30 22
43 52
44 25
15 17
25 17
02 11
72 73
52 16
62 53
16 07
37 36
c27 36
22 41
11 66
73 77
07 25
00 11
25 52
77 74
26 16
74 77
66 22
54 44
14 26
41 62
26 34
c53 52
34 53
77 71
22 40
44 35
40 51
17 05
51 62
52 62
36 45
62 63
16 25
71 76
53 61
63 64
45 55
c64 63
61 40
76 26
c25 34
26 36
34 45
63 53
24 35
05 17
40 61
c53 52
61 53
36 46
c45 46
17 25
c46 56
52 63
56 66
63 52
53 45
11 20
45 57
25 04
57 76
52 53
76 64
20 11
32 42
c53 42
64 45
11 44
35 44
04 25
45 33
25 44
33 54
c42 41
66 76
41 40
54 46
44 56
46 67
40 31
55 65
56 64
c76 66
64 43
65 75
p D
c31 40
75 15
43 31
15 17
31 43
66 56
43 31
17 71
31 52
71 61
52 44
c56 47
44 23
67 55
23 15
55 36
15 03
36 57
03 15
61 51
c40 51
57 45
15 36
45 24
51 50
24 16
36 17
47 37
50 61
16 04
61 70
37 26
17 05
c26 25
70 61
04 16
61 60
16 24
05 26
24 16
26 34
25 36
34 46
16 37
46 67
36 47
67 55
c47 57
55 34
57 56
34 53
56 47
60 61
47 57
61 50
57 66
53 72
37 56
50 60
66 55
60 50
56 44
72 53
44 65
53 72
55 66
72 51
65 73
50 60
66 77
51 70
END:0
