B: Kasparov
N: Marius

10 20
60 40
11 21
70 60
15 25
67 47
00 10
60 50
17 37
50 52
14 24
76 57
04 14
64 44
07 17
52 32
13 33
75 64
02 13
74 75
13 04
32 52
16 26
64 37
04 40
52 56
10 00
77 76
40 51
44 33
01 22
56 55
26 37
55 56
51 40
76 77
22 41
71 52
41 60
56 06
21 31
65 45
14 23
77 76
17 07
45 35
20 30
52 44
c23 33
73 55
07 17
06 26
05 32
55 51
c33 22
26 46
00 01
63 43
03 06
72 45
17 27
75 65
24 35
45 34
32 05
65 54
31 41
57 36
37 46
62 52
27 17
44 56
01 21
54 53
41 52
34 23
17 13
51 50
06 24
50 60
05 16
36 55
21 41
60 33
c22 33
55 36
41 01
23 12
24 22
36 17
16 05
61 51
40 31
c53 62
31 40
76 73
13 14
12 45
05 27
17 36
14 44
62 53
27 16
73 70
01 00
45 54
22 02
56 37
35 45
36 57
40 13
37 56
13 24
70 60
45 56
60 64
02 13
64 63
00 05
63 73
13 10
73 74
10 21
53 52
24 13
54 36
30 40
74 76
05 02
c52 53
33 23
36 63
44 45
76 70
02 06
70 74
16 07
74 34
21 12
34 64
13 35
c53 54
06 16
63 74
45 75
57 76
12 14
c54 63
14 24
64 24
c35 24
51 41
16 06
63 62
40 50
62 63
24 42
74 56
c23 24
56 23
75 73
c63 73
06 00
73 74
24 15
23 34
00 06
34 23
42 31
23 01
06 02
43 33
02 42
01 10
07 16
76 57
31 20
74 64
25 35
10 54
20 11
54 63
46 56
64 53
16 25
63 54
11 20
54 21
42 22
c53 54
35 45
c54 44
15 05
21 54
20 42
54 72
05 15
57 45
42 75
44 35
15 06
35 46
22 72
45 26
72 12
26 34
75 20
47 37
12 42
c34 42
06 17
42 54
25 34
46 57
34 07
54 42
07 70
41 31
70 43
31 21
17 07
57 56
07 17
42 63
50 60
63 71
43 34
c56 57
34 25
21 11
60 71
p A
11 01
p C
71 62
01 20
25 07
57 47
07 16
66 46
17 27
46 36
c27 17
20 01
17 06
47 46
62 53
46 55
06 07
01 22
53 64
c55 54
16 70
54 44
64 20
22 41
70 16
33 23
16 27
44 34
07 06
34 33
20 02
41 53
02 35
33 32
35 57
53 45
57 75
32 41
75 53
36 27
06 07
45 26
c07 17
26 45
53 42
41 30
42 53
45 53
17 06
53 41
06 07
30 40
07 06
41 60
06 05
23 13
05 15
40 41
15 06
41 42
06 05
60 41
05 14
42 53
14 15
53 62
15 06
41 60
06 07
60 41
07 06
62 51
06 15
51 60
15 05
60 61
05 15
41 22
15 25
61 60
25 35
60 50
35 25
22 34
25 34
50 61
34 35
61 70
35 44
13 03
p C
44 53
27 17
53 42
37 27
42 41
70 71
41 32
71 60
32 42
03 15
42 41
15 03
41 52
03 24
52 63
24 03
63 73
60 71
73 64
17 07
p D
64 55
71 60
55 56
07 06
c56 65
60 61
65 54
06 66
54 53
66 57
c53 42
57 77
42 41
61 70
41 52
77 55
c52 62
55 05
62 51
05 50
c51 42
50 54
42 33
70 61
33 42
03 11
42 31
11 32
31 21
32 53
c21 22
54 74
22 12
61 52
12 02
74 54
02 03
54 55
03 04
55 64
c04 13
53 34
c13 24
64 67
24 35
27 17
35 36
34 13
36 46
13 01
46 55
67 56
c55 56
END:0
