B: Kasparov
N: Turing

11 21
66 56
10 20
71 52
15 25
67 47
14 24
76 57
01 22
57 45
22 10
52 40
16 36
61 41
05 41
75 66
41 05
47 37
02 11
45 24
11 55
77 75
05 23
63 53
10 02
75 77
55 11
40 52
25 35
60 40
06 27
73 63
00 10
63 73
21 31
66 22
23 41
22 44
12 22
74 63
35 44
63 54
27 46
c54 63
10 00
70 50
00 01
73 74
13 24
40 31
11 00
65 55
04 15
55 44
41 30
50 60
07 06
53 43
46 65
77 47
06 16
74 76
02 21
43 33
21 13
37 27
03 02
60 30
24 33
44 34
22 31
72 50
02 05
47 45
c15 26
76 71
05 25
45 44
25 34
71 60
26 27
60 33
01 11
44 41
65 77
41 42
11 10
50 05
13 05
33 00
34 52
c42 52
31 41
00 77
c27 26
30 36
c26 15
77 22
17 27
63 74
41 52
36 33
05 26
74 75
26 34
33 32
34 26
32 35
c15 06
22 32
06 07
32 14
26 45
14 23
27 37
23 63
10 14
35 25
14 10
63 53
10 15
53 33
45 57
33 36
16 17
25 35
17 16
35 55
15 12
55 35
07 17
36 26
c17 07
26 15
12 15
64 44
15 10
75 66
16 06
35 36
06 04
36 37
c07 16
37 31
10 11
66 57
11 21
31 34
16 17
34 37
c21 27
56 46
04 01
37 47
20 30
57 66
01 61
66 76
27 37
46 37
61 21
76 67
21 31
67 76
31 11
76 65
11 21
65 55
21 26
37 26
c17 16
47 67
16 25
67 64
25 14
64 65
14 24
65 75
24 13
55 56
13 24
56 67
24 13
44 34
13 12
75 05
12 21
05 03
21 32
03 00
32 41
67 77
30 40
77 66
41 31
66 76
31 21
76 65
21 11
00 40
11 12
65 55
12 03
40 43
c03 04
43 13
04 13
55 64
13 03
64 65
03 04
65 55
04 05
55 56
05 04
56 45
04 05
45 44
05 16
44 45
16 05
45 46
05 14
46 56
14 03
34 24
03 02
56 57
02 01
24 14
01 11
57 46
11 12
46 57
12 02
57 47
02 13
47 46
13 12
46 35
12 02
35 24
02 11
24 23
11 10
23 13
10 20
13 23
20 21
23 34
21 30
34 24
30 21
24 33
21 10
33 34
10 21
34 25
21 10
25 16
10 21
16 25
21 11
25 35
11 01
14 04
p A
01 00
04 40
00 01
35 46
01 10
46 36
10 11
36 46
11 02
26 16
02 12
40 04
12 02
46 45
02 03
16 06
p A
03 02
45 44
02 11
44 45
11 02
45 34
02 11
06 33
c11 01
04 31
01 02
33 24
c02 12
24 13
12 03
31 64
03 12
13 46
12 01
46 24
01 12
34 44
12 23
64 73
23 24
44 54
24 33
54 65
33 43
73 46
43 33
46 37
33 44
37 55
c44 45
55 77
45 34
77 44
34 45
44 35
45 35
65 75
35 26
75 66
26 37
66 65
37 46
65 75
46 55
75 74
55 45
74 73
45 54
73 72
54 65
72 73
65 56
73 64
56 47
64 65
47 46
65 64
46 47
64 53
47 37
53 52
37 26
52 61
26 25
62 42
25 35
61 62
35 26
62 71
26 35
71 61
35 26
61 52
26 27
52 61
27 37
42 32
37 36
61 70
36 27
70 60
27 36
60 51
36 35
51 42
35 36
32 22
36 47
42 53
47 37
53 54
37 27
54 65
27 16
22 12
16 25
65 66
25 35
66 55
35 36
55 64
36 37
64 73
37 47
12 02
p T
47 56
02 03
56 65
03 04
65 66
04 14
66 77
73 74
77 66
14 11
66 57
74 64
57 56
11 51
c56 66
51 57
66 76
57 07
76 66
64 74
66 55
07 03
55 54
03 63
54 55
63 73
55 46
74 64
46 36
73 23
36 35
64 53
35 45
23 24
45 36
53 44
36 37
44 34
37 36
24 14
36 46
34 25
46 37
14 64
37 27
25 15
27 37
64 44
37 27
44 74
END:0
