B: Magnus
N: Bobbi

14 34
76 57
10 20
63 53
16 26
60 50
06 27
62 42
05 41
c71 63
13 23
65 55
02 24
73 40
c01 22
40 30
27 46
64 54
46 27
61 51
15 25
30 33
11 21
55 45
27 46
33 23
03 13
54 44
24 33
77 76
04 15
45 34
22 34
23 12
00 04
74 73
46 27
70 60
15 16
60 62
07 06
66 56
33 00
42 32
04 05
57 45
13 12
62 60
34 53
73 64
12 13
63 42
00 22
45 53
13 53
c64 65
53 64
c65 64
20 30
75 57
41 52
64 75
05 01
72 27
c16 27
57 46
52 63
42 21
06 16
60 63
30 40
76 66
25 35
63 60
16 13
21 00
01 21
75 64
35 46
64 75
13 10
60 61
21 51
61 60
27 37
66 61
22 33
44 34
10 15
c75 76
26 36
61 51
15 05
60 70
33 51
70 71
05 35
76 66
51 60
66 76
60 71
67 57
35 75
c76 66
71 26
32 22
75 05
66 77
05 25
22 12
25 23
77 66
23 03
66 77
03 02
00 21
02 07
21 13
46 57
12 02
p C
07 02
34 24
26 71
13 32
71 35
56 46
c37 26
32 20
02 06
20 01
06 04
01 22
04 00
22 01
26 16
77 67
35 62
67 56
62 53
56 55
53 62
55 64
16 27
64 74
57 67
01 13
00 20
13 01
62 53
01 22
20 30
74 73
30 10
22 14
53 71
73 63
71 53
14 26
10 11
26 47
53 42
63 74
42 75
24 14
11 31
47 26
31 61
74 73
61 51
73 74
75 42
26 47
51 50
14 04
p D
50 60
04 07
42 75
07 01
75 53
01 56
53 62
56 65
62 73
65 56
40 50
47 55
60 62
55 36
62 22
74 63
73 64
56 12
64 31
63 54
31 20
12 30
22 26
30 63
26 25
63 67
c27 26
36 17
25 35
67 57
20 75
54 43
50 60
57 27
c26 15
27 20
15 04
17 05
35 65
05 26
65 55
20 10
75 66
26 07
60 70
p C
10 15
c04 03
15 25
c03 04
25 20
04 14
20 31
70 51
c43 34
55 15
31 21
66 77
21 03
c14 03
34 23
77 66
23 24
15 10
24 23
51 72
07 15
c03 02
15 36
10 13
c23 32
66 00
32 42
00 44
36 57
44 53
c42 41
72 51
41 52
13 14
52 41
51 72
57 65
14 54
46 36
02 11
41 40
54 24
65 46
24 14
46 34
53 75
34 15
72 51
15 34
11 02
36 26
51 72
34 22
14 04
22 14
c02 01
14 35
04 02
26 16
72 53
40 51
53 65
35 54
02 22
54 33
22 27
33 52
75 53
52 33
27 21
c51 40
65 77
33 25
53 62
c40 50
01 02
25 13
21 31
16 06
p T
c02 11
06 66
31 36
50 41
62 51
13 01
36 16
66 62
11 01
62 65
16 13
41 31
51 06
65 05
c01 12
31 41
06 33
05 04
77 65
41 30
33 15
04 54
13 14
54 56
65 53
30 40
14 13
56 55
12 11
55 45
13 43
c40 30
11 02
45 47
02 11
47 27
15 60
27 07
53 74
07 03
11 12
30 20
60 71
03 00
43 33
20 10
33 23
00 03
23 43
03 05
43 46
05 00
46 47
00 03
47 44
03 13
c12 22
13 12
c22 31
END:0
