B: Bobbi
N: Morphy

06 27
66 56
27 46
76 55
16 36
67 57
14 34
77 76
17 37
71 50
13 23
50 31
03 25
31 52
10 20
57 47
20 30
52 40
11 31
55 43
25 35
43 31
35 62
63 43
04 14
40 21
46 67
31 12
05 27
76 66
02 11
64 54
07 03
12 24
00 10
66 67
62 02
73 63
11 00
63 73
02 32
24 32
00 66
73 40
66 00
32 24
15 24
67 57
00 33
75 53
03 02
70 71
02 03
53 64
27 16
40 13
c10 13
64 20
03 07
20 02
13 11
21 40
14 04
74 73
33 55
c73 74
04 15
74 75
55 73
71 70
15 05
72 63
11 10
40 32
23 32
56 46
01 13
75 76
10 11
60 40
11 10
54 44
32 43
63 45
73 64
02 13
64 53
47 36
10 11
57 37
11 61
36 26
61 64
70 73
64 44
37 57
53 62
13 04
07 27
45 72
44 45
73 75
45 44
04 31
27 57
31 53
05 06
72 50
44 64
75 71
57 17
71 74
64 44
65 45
17 07
76 66
44 74
53 62
07 27
66 55
27 57
c55 66
57 77
50 05
16 25
66 55
06 07
55 56
25 16
62 53
74 54
c56 65
77 73
53 71
54 56
65 56
73 77
46 36
43 53
05 14
77 57
c56 46
07 06
14 32
57 54
32 43
54 64
43 76
16 27
76 67
53 63
45 34
27 05
71 53
05 32
46 47
32 05
53 62
64 65
67 45
65 55
26 16
55 53
62 53
05 50
53 64
50 05
45 56
06 17
64 53
c17 16
53 31
16 26
31 13
05 41
56 74
26 35
74 63
35 34
47 37
34 33
13 02
41 32
02 11
c33 23
63 52
32 54
52 70
54 72
37 46
24 34
36 26
72 63
46 35
23 32
35 46
63 52
46 35
52 63
26 16
63 27
70 43
c32 41
11 33
41 50
35 34
27 45
c34 44
50 40
44 53
45 36
16 06
p D
36 25
33 24
25 07
06 00
07 16
24 33
16 43
53 43
40 50
33 24
50 40
24 60
40 31
43 34
31 40
00 01
40 50
01 31
50 60
31 40
c60 61
40 73
61 52
73 74
c52 53
74 41
53 54
41 52
c54 65
52 43
c65 56
43 53
c56 67
34 43
67 76
53 42
76 65
42 72
65 56
72 52
c56 67
43 33
67 77
52 62
30 40
62 53
77 76
53 62
76 75
62 51
75 66
33 23
66 76
51 06
c76 67
23 34
67 77
06 46
77 67
46 42
67 66
42 51
66 67
51 54
67 66
54 51
66 76
51 06
c76 67
06 51
67 76
34 24
40 50
51 33
76 67
33 32
67 77
32 76
c77 76
24 25
76 67
25 35
67 56
35 25
56 45
25 14
45 56
14 04
56 67
04 14
67 66
14 05
66 75
05 15
75 74
15 26
74 65
26 37
65 56
37 36
56 66
36 25
66 55
25 26
55 66
26 37
66 65
37 46
65 75
46 36
75 65
36 37
65 55
37 36
55 56
36 25
56 67
25 14
50 60
14 05
67 56
05 04
56 55
04 14
60 70
p A
14 24
55 54
24 13
54 65
13 12
70 16
12 23
65 66
23 13
16 52
13 14
52 41
c14 15
41 23
15 25
23 32
25 36
66 76
36 25
76 66
25 15
66 76
15 16
76 65
16 27
32 54
c27 37
65 55
37 26
54 72
26 25
55 45
25 26
45 46
26 25
72 45
25 26
45 72
26 25
46 47
25 16
47 46
16 07
46 37
07 16
72 63
16 05
37 47
05 14
63 52
END:0
